NO_PRESTADOR;FANTASIA;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;TELEFONE1;TELEFONE2
INSTITUTO MEDICO CUIDAR OXCENTRO LTDA;INSTITUTO CUIDAR;1504;SAO PEDRO - ATE 2563/2564;CENTRO;TERESINA;PI;TD Entre Rios;NEUROLOGIA  / GASTROENTEROLOGIA  / PSICOLOGIA  / INFECTOLOGIA  / UROLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / GINECOLOGIA E OBSTETRICIA  / REUMATOLOGIA  / ANGIOLOGIA / CIRURGIA VASCULAR / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / ORTOPEDIA E TRAUMATOLOGIA  / CARDIOLOGIA  / OTORRINOLARINGOLOGIA  / FONOAUDIOLOGIA  / DERMATOLOGIA;32178133;
INSTITUTO MEDICO DE COSTA RICA LTDA;IMCR;77;RUA LUDJERO BASILIO DE PAULA;VILA SANTANA;COSTA RICA;MS;NCT de Paranaíba;CARDIOLOGIA;32221000;
INSTITUTO NADJA QUADROS ASSIST INTERD EM SAUDE E CAPACIT;INSTITUTO NADJA QUADROS;3;RUA ARARIBA;AGUAS CLARAS;BRASILIA;DF;Distrito Federal;FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;;
INSTITUTO NINAR LTDA;INSTITUTO NINAR;0;RUA ERNESTO TITO;VILA BAYLÃO;RIO VERDE;GO;Sudoeste I;FISIOTERAPIA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;36224820;
INSTITUTO PARAIBANO DO CEREBRO LTDA;INSTITUTO DO CEREBRO;854;SAO PAULO;ESTADOS;JOAO PESSOA;PB;I Núcleo Regional de Saúde;NEUROLOGIA;32228050;32228050
INSTITUTO PAULO NASSIF LTDA;INSTITUTO PAULO NASSIF;857;RUA FRANCISCO ROCHA;BATEL;CURITIBA;PR;Metropolitana;PSICOLOGIA  / CARDIOLOGIA  / NUTRICAO / FISIOTERAPIA / CIRURGIA DO APARELHO DIGESTIVO / ENDOCRINOLOGIA E METABOLOGIA / PNEUMOLOGIA;;
INSTITUTO REABILITA LTDA;INSTITUTO REABILITA;798;RUA SÃO SALVADOR;CAMPO REAL II;CAMPO VERDE;MT;Rondonópolis;PSICOLOGIA  / NUTRICAO / FONOAUDIOLOGIA  / FISIOTERAPIA;;
INSTITUTO SAO JOSE LTDA;HOSPITAL SAO JOSE;80;DR ROOSEVELT KURY;CENTRO;BALSAS;MA;Gerais de Balsas;CIRURGIA PEDIATRICA  / GERIATRIA   / ORTOPEDIA E TRAUMATOLOGIA  / MASTOLOGIA  / FONOAUDIOLOGIA  / CIRURGIA PLÁSTICA / CIRURGIA DE CABEÇA E PESCOÇO / ENFERMAGEM  / DERMATOLOGIA   / ANGIOLOGIA / MEDICINA DA FAMÍLIA E COMUNIDADE / COLOPROCTOLOGIA / REUMATOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PEDIATRIA  / NEUROCIRURGIA  / MEDICINA DO TRABALHO / ANESTESIOLOGIA  / CIRURGIA CARDIOVASCULAR  / CIRURGIA DO APARELHO DIGESTIVO / PATOLOGIA / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / ONCOLOGIA CLÍNICA / UROLOGIA  / GENETICA MÉDICA / NUTROLOGIA / OTORRINOLARINGOLOGIA  / PNEUMOLOGIA  / CIRURGIA TORACICA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / OFTALMOLOGIA  / INFECTOLOGIA  / PSICOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / RADIOTERAPIA  / MEDICINA NUCLEAR  / GASTROENTEROLOGIA  / GINECOLOGIA E OBSTETRICIA  / APARELHOS E OBJETOS FINALIDADE MÉDICA / CIRURGIA ONCOLÓGICA / NEFROLOGIA  / ALERGIA E IMUNOLOGIA  / CLÍNICA MÉDICA / ACUPUNTURA  / CARDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / NEUROLOGIA  / CIRURGIA VASCULAR / CIRURGIA GERAL  / CIRURGIA DA MÃO;;
INSTITUTO SINAI SERVICOS MEDICOS LTDA;INSTITUTO SINAI;0;SETE DE SETEMBRO;SETOR CENTRAL;ARAGUAINA;TO;Região de Saúde Médio Norte;CLÍNICA MÉDICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PEDIATRIA  / ORTOPEDIA E TRAUMATOLOGIA;34130024;
INTEGRA ESPACO TERAPEUTICO LTDA;INTEGRA ESPACO TERAPEUTICO;8;RUA CORONEL ANTÔNIO SOARES;CENTRO;SOUSA;PB;X Núcleo Regional de Saúde;FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA / NUTRICAO / TERAPIA OCUPACIONAL;;
INTEGRA FISIO LTDA;EVOLUIR CLINICA MULTIDISCIPLINAR;65;RUA MAJOR CARVALHO;VÁRZEA;TERESOPOLIS;RJ;Serrana;PSICOLOGIA  / NUTRICAO / FISIOTERAPIA / FONOAUDIOLOGIA;;
INTEGRACLIN CLINICA DE SAUDE MULTIDISCIPLINAR;INTEGRACLIN;3506;AVENIDA COMENDADOR GUSTAVO PAIVA;MANGABEIRAS;MACEIO;AL;Região 01;PSICOLOGIA  / TERAPIA OCUPACIONAL;;
INTEGRAMENTE TERAPIAS LTDA;INTEGRAMENTE TERAPIAS;930;RUA FELISBERTO CARRIJO;FUNDINHO;UBERLANDIA;MG;Uberlândia;PSICOLOGIA;;
INTEGRAR SERVICO INTEGRADO MULTIDISCIPLINAR LTDA;INTEGRAR SERVICO INTEGRADO;395;OTÁVIO SANTOS;RECREIO;VITORIA DA CONQUISTA;BA;Vitória da Conquista;FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL;34250060;
INTEGRARE NUCLEO DE DESENVOLVIMENTO INFANTO JUVENIL E FAMILIAR LTDA;INTEGRARE;44;RUA NAIR FARIAS DE OLIVEIRA;PARQUE VERDE;ALAGOINHAS;BA;Alagoinhas;FISIOTERAPIA / NUTRICAO / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;;
INTEGRARTE PSICOLOGIA CLINICA LTDA;INTEGRARTE PSICOLOGIA CLINICA LTDA;253;AV DESEMBARGADOR NESTOR DIOGENES DE MELLO;BARRO;RECIFE;PE;Recife;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FISIOTERAPIA / PSICOLOGIA;;
INTENSIVA DAY HOSPITAL LTDA;INTENSIVA DAY HOSPITAL;800;AVENIDA ADJAR DA SILVA CASÉ;INDIANÓPOLIS;CARUARU;PE;Caruaru;ANGIOLOGIA / PATOLOGIA / CIRURGIA DO APARELHO DIGESTIVO / GINECOLOGIA E OBSTETRICIA  / CARDIOLOGIA  / COLOPROCTOLOGIA / DERMATOLOGIA   / MASTOLOGIA  / ANESTESIOLOGIA  / ENDOSCOPIA / CIRURGIA PLÁSTICA / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / NEUROCIRURGIA  / CIRURGIA CARDIOVASCULAR  / NEUROLOGIA  / CIRURGIA GERAL  / CIRURGIA VASCULAR / OTORRINOLARINGOLOGIA  / GASTROENTEROLOGIA;20114150;
INTENSIVA FISIOTERAPIA E MEDICINA LTDA;INTENSIVA FISIOTERAPIA E MEDICINA;1049;RUA RUI BARBOSA;SETOR CENTRAL;RIO VERDE;GO;Sudoeste I;FISIOTERAPIA / TERAPIA OCUPACIONAL;;
INTENSIVE CARE SERVICOS MEDICOS HOSPITALARES LTDA;INTENSIVE CARE;100;RUA CAMATIA;FREGUESIA (JACAREPAGUÁ);RIO DE JANEIRO;RJ;Metropolitana I;FISIOTERAPIA / MEDICINA FISICA E REABILITACAO  / TERAPIA OCUPACIONAL / ENFERMAGEM  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / NUTRICAO / CLÍNICA MÉDICA / FONOAUDIOLOGIA  / PSICOLOGIA  / REMOCOES;25689944;
INTERACAO - CENTRO DE ATENDIMENTO MULTIPROFISSIONAL LTDA;INTERACAO CENTRO DE ATENDIMENTO MULTIPROFISSIONAL;72;CSE 6;TAGUATINGA SUL (TAGUATINGA);BRASILIA;DF;Distrito Federal;FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA  / PEDIATRIA  / TERAPIA OCUPACIONAL;30243799;
IORA Y INSTITUTO ONCOLOGICO REZENDE AMARAL;IORA INSTITUTO ONCOLOGICO REZENDE AMARAL;1738;AVENIDA PARANAÍBA;SETOR CENTRAL;ARAGUAINA;TO;Região de Saúde Médio Norte;CIRURGIA DE CABEÇA E PESCOÇO / MASTOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / ONCOLOGIA CLÍNICA / REUMATOLOGIA  / CIRURGIA ONCOLÓGICA / CIRURGIA TORACICA;34125837;
IORD - INSTITUTO DE OLHOS DR RUBENS DAVID LTDA;IORD - INSTITUTO DE OLHOS DR RUBENS DAVID;472;RUA JOSÉ BORGES;CENTRO;CALDAS NOVAS;GO;Estrada de Ferro;OFTALMOLOGIA;34530855;
IRIA BARREIRA;IRIA BARREIRA;;;;;;;FISIOTERAPIA;;
IRMANDADE DA SANTA CASA DE SERTAOZINHO;HOSPITAL E MATERNIDADE SAO JOSE;1741;RUA EPITÁCIO PESSOA;CENTRO;SERTAOZINHO;SP;Ribeirão Preto;MEDICINA FISICA E REABILITACAO  / PEDIATRIA  / ENDOSCOPIA / OTORRINOLARINGOLOGIA  / MASTOLOGIA  / CIRURGIA GERAL  / PATOLOGIA / GASTROENTEROLOGIA  / MEDICINA INTENSIVA / INFECTOLOGIA  / GINECOLOGIA E OBSTETRICIA  / HEMATOLOGIA E HEMOTERAPIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA PLÁSTICA / NEUROLOGIA  / UROLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CLÍNICA MÉDICA / CIRURGIA DE CABEÇA E PESCOÇO / ANESTESIOLOGIA  / NEFROLOGIA  / CIRURGIA VASCULAR / CIRURGIA PEDIATRICA;39462855;
IRML SOARES;ETI ESPACO INTEGRADO  TERAPEUTICO;570;JOSE OLAVO SAMPAIO;CENTRO;PRESIDENTE DUTRA;MA;Pré-Amazônia;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA;;
ISABELLA VENDRAMINI SERVICOS MEDICOS LTDA;ISABELLA VENDRAMINI SERVICOS MEDICOS LTDA;136;RUA BUENO BRANDÃO;CENTRO;CURVELO;MG;Sete Lagoas;DERMATOLOGIA;;
ISABELLE DE BRITO ALVES;;220;ALICIO VIEIRA DA SILVA;SÃO PAULO;CATOLE DO ROCHA;PB;VIII Núcleo Regional de Saúde;PSICOLOGIA;;
ISALAB CITOLOGIA E ANALISES CLINICAS LTDA;ISALAB CITOLOGIA E ANALISES CLINICAS;1284;RUA DR. ALCINDO RIBEIRO CONRADO;CENTRO;FRANCA;SP;Franca;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;30306351;
IVER INSTITUTO VASCULAR E ENDOVASCULAR DE RONDONIA;IVER INSTITUTO VASCULAR E ENDOVASCULAR DE RONDONIA;1600;RUA SENADOR ÁLVARO MAIA;OLARIA;PORTO VELHO;RO;Departamento de Epidemiologia;CIRURGIA VASCULAR;32291205;
J A SERVICOS MEDICOS LTDA;INSIGHT CLINIC;242;RUA ISAAC, MARTINS;CENTRO;BALSAS;MA;Gerais de Balsas;TERAPIA OCUPACIONAL / PSICOLOGIA  / PSIQUIATRIA  / FONOAUDIOLOGIA;;
J C IMAGENS LTDA;J C IMAGENS;0;RUA DAS DÁLIAS;JARDIM CUIABÁ;CUIABA;MT;Baixada Cuiabana;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;36262200;
J C R RAMOS SERVICOS MEDICOS LTDA;J C R RAMOS SERVICOS MEDICOS;329;RUA CATANDUVA;ALTO CAFEZAL;MARILIA;SP;Marília;ACUPUNTURA;34223859;
J DA SILVA SENA FISIOTERAPIA LTDA;J DA SILVA SENA FISIOTERAPIA;5520;RUA MANDAGUARI;ZONA III;UMUARAMA;PR;Umuarama;FISIOTERAPIA;;
J M A NOGUEIRA JUNIOR SERVICOS MEDICOS;CLINICA NOGUEIRA;193;RUA ORLANDO VENEROSO;RESIDENCIAL VILA ROMANA;PIRASSUNUNGA;SP;Piracicaba;GINECOLOGIA E OBSTETRICIA;;
J T N DE OLIVEIRA LTDA;MEDICAL CLIN;215;AVENIDA PARANÁ;CENTRO;LUCAS DO RIO VERDE;MT;Sinop;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;32281378;
J V S MACHADO CIA LTDA;ULTRACLINICA;213;RUA SILVESTRE COELHO;IPASE;RIO BRANCO;AC;Acre;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CLÍNICA MÉDICA;;
JAMAYRA ROCHA ALVES SOUSA;JAMAYRA ROCHA ALVES SOUSA;88;AVENIDA DOUTOR GUARANY;JOCELY DANTAS;SOBRAL;CE;Sobral;PSICOLOGIA;;
JEFERSON LUIZ LANGOSKI CLINICA INTEGRADA & CIA LTDA;J L L FISIOTERAPIA;255;RUA COMENDADOR AYRTON PLAISANT;CENTRO;PONTA GROSSA;PR;Ponta Grossa;FISIOTERAPIA;;
JESSICA FERNANDES NOMINATO LTDA;NOMINATO SERVICOS MEDICOS;0;QUADRA ACSU SO 40 AVENIDA JOAQUIM TEOTÔNIO SEGURAD;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;INFECTOLOGIA  / PEDIATRIA;;
JESSICA PALOMA DOS SANTOS EGUES;EGUES TERAPIAS INTEGRADAS;6;RUA RIO IÇA;NOSSA SENHORA DAS GRAÇAS;MANAUS;AM;Entorno de Manaus;ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL;;
JOAO BEZERRA DA SILVA NETO;;170;RUA BENJAMIN CONSTANT;ESTAÇÃO VELHA;CAMPINA GRANDE;PB;III Núcleo Regional de Saúde;ENDOCRINOLOGIA E METABOLOGIA;;
JOELY DA SILVA ANDRADE;ESPECIALIZA INTERVENCAO COMPORTAMENTAL;77;RUA JOAQUIM DE CARVALHO;VILA BETÂNIA;SAO JOSE DOS CAMPOS;SP;Taubaté;PSICOLOGIA;;
JOMAG SERVICOS MEDICOS LTDA;ATOMO;0;RUA QUINTINO BOCAIUVA ANEXO A FHSS;CENTRO;CAETITE;BA;Caetité;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;34543445;
JORGE EVERTON DE MEDEIROS NOGUEIRA JUNIOR;JORGE ÉVERTON DE MEDEIROS NOGUEIRA JÚNIOR;436;AVENIDA GERARDO RANGEL;PEDRINHAS;SOBRAL;CE;Sobral;DERMATOLOGIA;;
JOSE CARLOS ALVES TEOTONIO;JOSE CARLOS ALVES TEOTONIO;51;RUA MARIA DE LOURDES CASÉ PORTO;MAURÍCIO DE NASSAU;CARUARU;PE;Caruaru;NUTROLOGIA;;
JOSE VALDIR PESSOA NETO;;1312;AVENIDA DOM LUÍS, 1233;MEIRELES;FORTALEZA;CE;Fortaleza;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;;
JOVANACI PEREIRA RADIOLOGIA LTDA;INOVARAD DIAGNOSTICO POR IMAGEM;402;RUA MAL FLORIANO PEIXOTO;CENTRO;JACAREZINHO;PR;Jacarezinho;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;
JR CLINICA DE FISIOTERAPIA EIRELI ME;ESPACO SAUDE FISIOTERAPIA E PILATES;1250;RUA RIO BRANCO;CENTRO;MEDIANEIRA;PR;Foz do Iguaçu;FISIOTERAPIA;32641626;
JR FISIOTERAPIA SAUDE BEM ESTAR;JR FISIOTERAPIA SAUDE BEM ESTAR;137;RUA GARCIA REDONDO;VILA JARDINI;SOROCABA;SP;Sorocaba;FISIOTERAPIA;;
JRL CARNEIRO DIAGNOSTICO POR IMAGEM LTDA;CLINICA DE SAUDE E IMAGEM CSI;152;RUA TEIXEIRA BARROS;PARQUE BELA VISTA;SALVADOR;BA;Salvador;ORTOPEDIA E TRAUMATOLOGIA  / CARDIOLOGIA  / GINECOLOGIA E OBSTETRICIA  / PEDIATRIA  / NEUROLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / GASTROENTEROLOGIA;31817666;
JT CLINICA FONOAUDIOLOGICA LTDA;FONO HEAR CLINICA FONOAUDIOLOGICA;2659;RUA PINHEIRO MACHADO;;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;FONOAUDIOLOGIA;35347277;
JTG PSICOLOGIA LTDA;EVOLUIR PSICOLOGIA E PSICANALISE;1995;RUA SÃO PAULO;CENTRO;CAMPO MOURAO;PR;Campo Mourão;PSICOLOGIA;;
JULIA LARA MORISCO DOS SANTOS;JULIA LARA MORISCO DOS SANTOS;716;JOSE PEREIRA DA SILVA;CENTRO;IVINHEMA;MS;NCT de Nova Andradina;NUTRICAO;;
JULIA ZANINI DA SILVA;JULIA ZANINI DA SILVA;1969;RUA URUGUAI;CENTRO;PASSO FUNDO;RS;CRS 06 Passo Fundo;NUTRICAO;;
JULIANA BRANDAO SANTOS;JULIANA BRANDÃO SANTOS;;;;;;;FISIOTERAPIA / MEDICINA FISICA E REABILITACAO;;
JULIANA DA SILVA SANTOS MACEDO LTDA;JANELA SAUDE E DESENVOLVIMENTO;305;RUA JOVENTINA ALVES;SALGADO FILHO;ARACAJU;SE;Região Aracaju;FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA;;
JULIANA DE MEDEIROS LIMA;JULIANA DE MEDEIROS LIMA;6425;AVENIDA ENGENHEIRA LÚCIA MARIA BALBELA CHIESA;SENANDES;RIO GRANDE;RS;CRS 03 Pelotas;PSICOLOGIA;;
JULIANO SOARES RABELLO MOREIRA;;300;AVENIDA PIRAÍ;SÃO CRISTÓVÃO;LAJEADO;RS;CRS 16 Lajeado;MEDICINA DA FAMÍLIA E COMUNIDADE;;
JULLYANA JANDYR SANTOS DE ARAUJO;Jullyana Jandyr Santos de Araújo;284;RUA DAS ORQUÍDEAS;PEDRA BRANCA;PALHOCA;SC;Grande Florianópolis;FISIOTERAPIA;;
K BOMFIM SERVICOS MEDICOS EIRELI;K BOMFIM;67;RUA SANTA LUZIA;CENTRO;ARACAJU;SE;Região Aracaju;CARDIOLOGIA  / CIRURGIA CARDIOVASCULAR;;
K J SERVICOS DE SAUDE LTDA;CENTRO CLINICO REVIGORI;2086;AVENIDA PRESIDENTE VARGAS;APARECIDA;SANTAREM;PA;Baixo Amazonas;ENDOCRINOLOGIA E METABOLOGIA / NEUROLOGIA;;
KACYLA CRISTIELE SILVA;KACYLA CRISTIELE SILVA;2510;AVENIDA 9 DE JULHO;CENTRO;FATIMA DO SUL;MS;NCT de Fátima do Sul;PSICOLOGIA;;
KARINA NAVES HENRIQUES;KARINA NAVES HENRIQUES;201;AVENIDA DOUTORA DAMINA;BAIRRO DOS IPES;LAVRAS;MG;Varginha;TERAPIA OCUPACIONAL;;
KELLY PINTO ROCHA; KELLY PINTO ROCHA;236;RUA PRINCESA ISABEL;FAROL;MACEIO;AL;Região 01;PSICOLOGIA;;
KINASHI SERVICOS MEDICOS LTDA;KINASHI SERVICOS MEDICOS LTDA;2983;RUA PADRE JOÃO CRIPPA;MONTE CASTELO;CAMPO GRANDE;MS;NCT de Campo Grande;MEDICINA FISICA E REABILITACAO;;
L & R SERVICOS MEDICOS LTDA - ME;CLINICA LAGO;231;AVENIDA BRASÍLIA;MIMOSO DO OESTE;LUIS EDUARDO MAGALHAES;BA;Barreiras;CLÍNICA MÉDICA / CARDIOLOGIA;36287499;
L C B ATIVIDADES MEDICAS EIRELI;L C B ATIVIDADES MEDICAS;444; RUA PERNAMBUCO;CENTRO;POCOS DE CALDAS;MG;Pouso Alegre;MEDICINA DO TRABALHO;31141143;
L CHRISTOFOLETTI FONOAUDIOLOGIA;SOLUCAO AUDITIVA AVALIACOES E APARELHOS;693;AVENIDA ANDRÔMEDA;JARDIM SATÉLITE;SAO JOSE DOS CAMPOS;SP;Taubaté;FONOAUDIOLOGIA;;
L F SANTOS PSICOLOGIA LTDA;CLINICA DE PSICOLOGIA;203;RUA PERNAMBUCO;JARDIM VITÓRIA;ITABUNA;BA;Itabuna;PSIQUIATRIA  / PSICOLOGIA  / FISIOTERAPIA / NUTRICAO / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS;30267823;
L NOLETO BARBOSA FISIOTERAPIA;CNFISIO;85;RUA BENEDITO LEITE;CENTRO;COELHO NETO;MA;Timbiras;PSICOLOGIA  / NUTRICAO / FISIOTERAPIA;;
LA CLINICA DE FISIOTERAPIA LTDA;LA CLINICA DE FISIOTERAPIA;2874;RUA ALMIRANTE BARROSO;CENTRO;TOLEDO;PR;Toledo;FISIOTERAPIA;;
LABCIDADE ANALISES CLINICAS LTDA;LABCIDADE ANALISES CLINICAS;1062;BARÃO DE CAMBAY;CENTRO;SAO GABRIEL;RS;CRS 10 Alegrete;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
LABCLINICA LABORATORIO DE ANALISES CLINICAS LTDA;LABORATORIO MEDCLINICA;21;FOLHA 32 QUADRA 04;NOVA MARABA;MARABA;PA;Itacaiúnas Tocantins;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;33218571;
LABEX - LABORATORIOS DE EXAMES LTDA S/C;;440;VILA JOÃO AGUIAR;CENTRO;MACAE;RJ;Norte;CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;27576300;
LABGENE MEDICINA LABORATORIAL LTDA;LABGENE MEDICINA LABORATORIAL;531;RUA JOAQUIM GODOY;NOSSA SENHORA DA PENHA;SERRA TALHADA;PE;Serra Talhada;CLÍNICA MÉDICA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
LABORATORIO BOMCONSELHENSE DE ANALISES CLINICAS LTDA;LABOCLIN;41;R FREI CANECA;CENTRO;BOM CONSELHO;PE;Garanhuns;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
LABORATORIO CORTES VILLELA LTDA;LABORATORIO CORTES VILLELA LTDA;34;RUA PLOBIO CORTES;CENTRO;LEOPOLDINA;MG;Leopoldina;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;32395029;
LABORATORIO DE ANALISE CLINICA SANTA CECILIA DE CAMBUI LTDA;LABORATORIO SANTA CECILIA DE CAMBUI;660;AVENIDA DO CARMO;;CAMBUI;MG;Pouso Alegre;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;34311533;
LABORATORIO DE ANALISES CLINICAS;LABORATORIO DE ANALISES CLINICAS DR JOSE BENICIO;33;JADER MEDEIROS;CENTRO;SANTA LUZIA;PB;VI Núcleo Regional de Saúde;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
LABORATORIO DE ANALISES CLINICAS VALADAO;LABORCLIN;1830;RUA PEDRO SILVEIRA;CENTRO;ALFENAS;MG;Alfenas;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;32917379;
LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRINDADE LTDA;LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRIND;414;AVENIDA BRASIL;PAES LEME;IMBITUBA;SC;Tubarão;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;39522900;
LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRINDADE LTDA;SABIN MEDICINA DIAGNOSTICA;2075;AVENIDA MARCOLINO MARTINS CABRAL;VILA MOEMA;TUBARAO;SC;Tubarão;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;32058000;
LABORATORIO DE ANALISES E PESQUISAS CLINICAS TRINDADE LTDA;SABIN MEDICINA DIAGNOSTICO;353;RUA SOUZA DUTRA;ESTREITO;FLORIANOPOLIS;SC;Grande Florianópolis;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;32058000;
LABORATORIO DE PATOLOGIA CIRURGICA E CITOLOGIA LTDA;LABORATORIO DE PATOLOGIA CIRURGICA E CITOLOGIA LTD;1405;RODOVIA ENGENHEIRO EDILSON TAVORA;PARAÍSO DA BARRA;BARRA DOS COQUEIROS;SE;Região Aracaju;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;33027394;
LABORATORIO ESPECIALIZADO EM DIAGNOSTICO LTDA;LAED;19;RUA POLÔNIA;AREIA BRANCA;PETROLINA;PE;Petrolina;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
LABORATORIO FUQUIM LTDA;LABORATORIO FURQUIM;927;RUA JOÃO PAULINO DAMASCENO;SANTA RITA;ALFENAS;MG;Alfenas;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;34704645;
LABORATORIO MELO E OLIVEIRA LTDA;LABORATORIO SAO LUCAS;167;RUA DOUTRO TULIO;CENTRO;ARACUAI;MG;Diamantina;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;37313011;
LABORATORIO SABIN DE ANALISES CLINICAS LTDA;;36;SIG QUADRA 4 BLOCO A;ZONA INDUSTRIAL;BRASILIA;DF;Distrito Federal;GENETICA MÉDICA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / USO INTERNO CASSI / HEMATOLOGIA E HEMOTERAPIA / PATOLOGIA;33298000;
LABORATORIO VITAL BRASIL LTDA;LABORATORIO VITAL BRASIL;968;RUA GENERAL OSÓRIO;CENTRO;PELOTAS;RS;CRS 03 Pelotas;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;
LABORCLINICA ANALISES E PESQUISAS CLINICAS LTDA;LABORCLINICA;386;RUA PRESIDENTE VARGAS;CENTRO;BRUMADINHO;MG;Belo Horizonte;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / GENETICA MÉDICA / PATOLOGIA;35322100;
LAC LABORATORIO DE ANALISES CLINICAS LTDA;;872;RUA AFONSO PENA;KM 1;PORTO VELHO;RO;Departamento de Epidemiologia;PATOLOGIA / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;32217241;
LAISE MABELLE G DE SOUSA;LAISE MABELLE G DE SOUSA;971;DEPUTADO AMERICO MAIA;NOEL VERAS;CATOLE DO ROCHA;PB;VIII Núcleo Regional de Saúde;FISIOTERAPIA;;
LAIZE MARY PSICOLOGIA E FONOAUDIOLOGIA;STIMULUS TERAPIAS INTEGRADAS;1250;RUA SENADOR CÂNDIDO FERRAZ;JÓQUEI;TERESINA;PI;TD Entre Rios;NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA;;
LAMED CLINICA MEDICA LTDA;LAMED CLINICA MEDICA;1060;INDAIAL;SAO JUDAS;ITAJAI;SC;Itajaí;ACUPUNTURA  / HOMEOPATIA  / NUTROLOGIA;32400208;
LARISSA DE ALMEIDA RIBEIRO LTDA;VIVITY TERAPIA OCUOPACIONAL;46;JOEL LAROCA;NOVA RUSSIA;PONTA GROSSA;PR;Ponta Grossa;TERAPIA OCUPACIONAL;;
